text,preview
"
      How I conquered my fear of public speaking and learned to give effective presentations      ","
  
      This postdoc learned four key lessons that helped her engage with her audiences  
"
"
      How do you Doogie? Science’s infatuation with young prodigies      ","
  
      Our Experimental Error columnist reflects on the allure of youth  
"
"
      Why some professors welcome new lab members with clear expectations—in writing      ","
  
      Documents like these can help labs run more smoothly  
"
"
      Ultrarunning made me a more resilient scientist      ","
  
      Lessons learned from a running group helped this grad student redefine success, both professionally and personally
  
"
"
      Three keys to launching your own lab      ","
  
      In this Letter to Young Scientists, our columnists share their advice for new faculty members  
"
"
      Hefty university fees are sending some grad students to food banks      ","
  
      As costs rise, students and faculty members are pushing back
  
"
"
      We live in a complex world. Science can’t be taught in a vacuum      ","
  
      Why this biology professor addresses social and political issues in his classroom  
"
"
      My science seemed to tell a clear story—until I took a closer look      ","
  
      This researcher reflects on lessons learned from spinning a story about her data instead of critically examining all the facts  
"
"
      For academics, what matters more: journal prestige or readership?      ","
  
      Faculty members say they prioritize readership—but they think their peers care most about prestige  
"
"
      Skydiving taught me I can land on my feet—in my life and career      ","
  
      Career leaps can be scary, but they are also exhilarating and rewarding, this grad student writes
  
"
"
      How to tell your adviser you’re pursuing a nonacademic career      ","
  
      In this installment of Your Unicorn Career, our columnist offers advice for having “the talk”  
"
"
      Why I livestream my science      ","
  
      This computational researcher discovered the benefits of sharing his work in real time  
"
"
      What can scientists learn from stand-up comedy?      ","
  
      Our Experimental Error columnist shares lessons for giving effective presentations inspired by performing comedy  
"
"
      Amid concerns about grad student mental health, one university takes a novel approach      ","
  
      At the University of North Carolina, specialized counselors serve the school’s biomedical Ph.D. students  
"
"
      How I negotiated paternity leave in a place where it’s not the norm      ","
  
      Fathers in Japan rarely take paternity leave, but this postdoc wanted to blaze a trail  
"
"
      In the tough academic job market, two principles can help you maximize your chances      ","
  
      Our Letters to Young Scientists columnists explain how to face job market randomness by maximizing signal and minimizing noise  
"
"
      Committee members shouldn’t expect Ph.D. students to serve coffee and pastries      ","
  
      Thesis defenses and committee meetings are stressful enough without the added expectation of bringing food, this student writes  
"
"
      Yes, you can—and should—negotiate academic job offers      ","
  
      How a professor learned the importance of negotiating, and sharing his hard-won knowledge  
"
"
      It’s OK to quit your Ph.D.      ","
  
      Former students recount their experiences dropping out  
"
"
      Struggling with your academic writing? Try these experiments to get the words flowing      ","
  
      Our Letters to Young Scientists columnists offer some ideas for developing good writing habits  
"
"
      Academia or industry? How I learned to pivot between them      ","
  
      This researcher’s winding path taught him to embrace career plan changes rather than fear them  
"
"
      Yay, it’s conference time! Navigating the bizarre world of scientific meetings      ","
  
      Our Experimental Error columnist offers a tongue-in-cheek guide for conference attendees  
"
"
      ‘Now I know I’m not alone.’ Study highlights challenges LGBTQ workers in STEM face      ","
  
      The study authors discuss what they learned and how to be a supportive ally  
"
"
      How I learned to teach like a scientist      ","
  
      Recently retired, this professor emeritus reflects on how she challenged students to think beyond facts  
"
"
      A warning from the academic underground of adjuncts and contingent faculty      ","
  
      Our Taken for Granted columnist discusses the pernicious exploitation that plagues academia  
"
How to keep a lab notebook,
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      What matters in a Ph.D. adviser? Here’s what the research says      ","
  
      Supportiveness and working style are key factors for Ph.D. student satisfaction and success  
"
"
      In academia, hard work is expected—but taking a break is effort well spent, too      ","
  
      How one researcher learned the importance of taking time away from work  
"
"
      Mixed messages about women’s representation in science—and a missing piece of the picture      ","
  
      Spurred by a recent symposium, our columnist discusses progress made and work still to be done  
"
"
      Raising my voice as a scientist and an advocate      ","
  
      This grad student faced opposition for mixing research and advocacy, but she’s committed to staying the course  
"
"
      How mindfulness can help Ph.D. students deal with mental health challenges      ","
  
      Mindfulness practices can help alleviate depression and develop resiliency, according to a recent study  
"
"
      Mine your mind for the data to drive your career      ","
  
      In this installment of Your Unicorn Career, our columnist explains how collecting data about yourself is key for career planning and development  
"
"
      To find the right career fit, I needed to do more than move from job to job      ","
  
      When this scientist couldn’t find her one ideal job, she tried something different: a combination of two  
"
"
      Scientists’ two most feared words: ‘Submit online’      ","
  
      Our Experimental Error columnist laments the pain of online applications  
"
"
      Targeting cancer and careers: Precision Medicine      ","
  
      Job opportunities abound for researchers and clinicians in cancer precision medicine who are at home collecting and analyzing big data.  
"
"
      Early-career researchers prepare for Brexit      ","
  
      Organizing a workshop helped start productive conversations, this scientist writes  
"
"
      Three research-based lessons to improve your mentoring      ","
  
      In this Letter to Young Scientists, our columnists explore the science of the mentor-mentee relationship  
"
"
      In a first, U.S. private sector employs nearly as many Ph.D.s as schools do      ","
  
      With academic jobs no longer the norm, universities are looking to adapt  
"
"
      How I learned to cope with seasonal affective disorder in grad school      ","
  
      When a Ph.D. program took this scientist far from home, her health took a downturn  
"
"
      As an underrepresented minority student, my community’s support can feel like pressure      ","
  
      A grad student recognizes this dynamic during her Ph.D. studies and learns to address it
  
"
"
      Allow me to tell you how awesome you are      ","
  
      Introducing “Your Unicorn Career,” a new column from Science Careers  
"
"
      Leaving a Ph.D. takes courage—and it doesn’t mean the path to academic success is over      ","
  
      For this academic, leaving his first Ph.D. program was one of the most important professional decisions he ever made  
"
"
      When your thesis adviser advises you to quit      ","
  
      When our columnist asked readers whether this had happened to them, the stories came pouring in  
"
"
      For forced migrants, access to higher education can be key to rebuilding, this researcher says      ","
  
      Academics need to be aware of the challenges these scholars face and how they can help  
"
"
      After a baby, 28% of new parents leave full-time STEM work      ","
  
      More than 40% of new moms and 20% of new dads in science change fields, go part time, or quit the workforce  
"
"
      Reimbursement policies make academia less inclusive      ","
  
      Paying conference expenses up front from personal accounts is a significant burden, this grad student writes  
"
"
      How scientists are fighting against gender bias in conference speaker lineups      ","
  
      “I’m hopeful,” one scientist told us. “A lot of initiatives … have started in the last 2 or 3 years.”  
"
"
      How lessons from trail running helped me succeed in grad school      ","
  
      Sometimes the trail gets steep, and that’s OK, this scientist writes  
"
"
      University of California staff researchers opt to form a union, joining postdocs      ","
  
      But the effort is currently stalled by objections from the UC administration  
"
"
      To ace your Ph.D. program interviews, prepare to answer—and ask—these key questions      ","
  
      These 10 questions will help you get an offer and determine whether the program is right for you, our columnists write  
"
"
      A passion for pathways: Careers in diversity and inclusion for STEM postdocs      ","
  
      Want to help yourself as well as fellow scientists? A career in diversity and inclusion just might be a win–win.  
"
How to keep a lab notebook,
"
      How crocheting bumble bees helped my department craft social ties      ","
  
      For this grad student, a weekly craft night helped build community  
"
"
      It’s OK to push back on your Ph.D. adviser      ","
  
      How three scientists spoke up when they disagreed with their faculty mentors  
"
"
      Pressure to compete hurt my science—and my happiness. Then I found a new way forward      ","
  
      How a scientist shifted his mindset from competitive to collaborative  
"
Grad student unions dealt blow as proposed new rule says students aren’t ‘employees’,
What do we know about Ph.D. scientists’ career paths?,
Three lessons from industry that I’m taking back to academia,
"
      When Ph.D. stands for Problematic Hiring Detriment      ","
  
      Our columnist investigates how having a Ph.D. can hurt your job search  
"
"
      My first postdoc position was a disaster. This is what I learned      ","
  
      Looking back, this scientist wishes he had moved on much sooner  
"
"
      A sense of belonging matters. That’s why academic culture needs to change      ","
  
      Stephen Thomas—a health care researcher who works on diversity issues—shares his perspective about training the next generation of scientists  
"
"
      What a scarred whale named Lucky taught me about healing my own emotional scars      ","
  
      When I completed my Ph.D. after my son died, I thought it meant I had recovered from the trauma. I was wrong  
"
"
      A decade after a needless lab death, how to strengthen safety      ","
  
      Our columnist explores what institutions, organizations, and individuals can do to improve lab safety  
"
"
      Four lessons about transitioning from academia to the ‘real world’      ","
  
      The move requires a few crucial mindset shifts
  
"
"
      Step back to move forward: Setting new priorities in the new year      ","
  
      This is a great time to consider whether you are on the path that’s right for you, our columnists write  
"
"
      How a forced career change taught me to embrace new opportunities      ","
  
      This scientist felt like her career was hitting a wall, but the experience ended up broadening her horizons  
"
"
      Assigning authorship for research papers can be tricky. These approaches can help      ","
  
      From prioritizing equity and consensus to highly quantitative systems, researchers find ways to assign authorship fairly and avert disputes  
"
"
      What’s in a milestone? Reflecting on the life of a scientist      ","
  
      For the 100th Experimental Error column, Adam Ruben considers the markers along the road of a scientific career  
"
"
      Our reporter was a data point in a study of scientific careers. She and others have questions      ","
  
      The study estimated our reporter’s career to be 1-year long. It should have been 13 years  
"
"
      How an unexpected boost from the past helped reinvigorate my research      ","
  
      When this grad student dove into the history of his field, he learned how science can move forward by revisiting the past  
"
"
      Are conferences providing enough child care support? We decided to find out      ","
  
      Male-dominated disciplines are leading the pack, according to our investigation  
"
"
      How to put your best foot forward in faculty job interviews      ","
  
      Advice about job talks and one-on-one and group meetings from our columnists  
"
"
      Yes, it is getting harder to publish in prestigious journals if you haven’t already      ","
  
      So-called “chaperone effect” has gotten stronger in recent years, study finds  
"
"
      For new Ph.D. recipients, postgraduation employment numbers are on the rise      ","
  
      The U.S. National Science Foundation just released its latest batch of data from the Survey of Earned Doctorates  
"
"
      In some disciplines, heavy drinking is part of the culture. That can be a problem      ","
  
      Centralizing alcohol for networking and team building can exclude people and create unhealthy pressure  
"
"
      Six tips for happy, productive remote working      ","
  
      Working remotely can be great—but also challenging, as these two scientists discovered  
"
"
      A decade after a fatal lab safety disaster, what have we learned?      ","
  
      There’s been some progress but also continued failings, our columnist writes  
"
"
      Considering going abroad for work? Recent research can help you weigh the pros and cons      ","
  
      Particularly for European researchers, working internationally is prized—but don’t ignore the potential costs  
"
